SN,Contract No.,Stock Symbol,Buyer,Seller,Quantity,Rate (Rs),Amount (Rs)

1,2023062603021257,SFCL,28,13,10,320.00,"3,200.00"
2,2023062601029380,CZBIL,28,26,10,172.90,"1,729.00"
3,2023062603021256,ICFC,28,43,20,515.90,"10,318.00"
4,2023062601029379,SBI,29,44,10,356.50,"3,565.00"
5,2023062601029378,SMH,29,41,10,562.00,"5,620.00"
6,2023062601029377,SMH,29,17,10,560.00,"5,600.00"
7,2023062601029376,GBIME,13,16,53,182.00,"9,646.00"
8,2023062604017858,AHPC,26,19,10,288.10,"2,881.00"
9,2023062601029375,DLBS,5,37,50,775.00,"38,750.00"
10,2023062601029374,ADBL,17,34,351,229.90,"80,694.90"
11,2023062601029373,ADBL,17,25,800,229.50,"183,600.00"
12,2023062601029372,ADBL,17,34,200,229.00,"45,800.00"
13,2023062601029371,ADBL,17,34,800,228.90,"183,120.00"
14,2023062601029370,ADBL,17,6,"1,849",228.90,"423,236.10"
15,2023062603021255,PROFL,17,38,10,390.00,"3,900.00"
16,2023062601029369,NABIL,36,25,100,586.00,"58,600.00"
17,2023062604017857,KKHC,53,7,20,220.00,"4,400.00"
18,2023062603021254,PFL,41,32,10,404.00,"4,040.00"
19,2023062601029368,MBJC,8,41,260,332.00,"86,320.00"
20,2023062601029367,MBJC,45,41,240,332.00,"79,680.00"
